"","parameter","X2.5.","X97.5.","mean","pprob0"
"1","hhsize",-0.362117195694236,-0.0768019433792119,-0.217472197232945,0.003
"2","hhage",0.0762552864677506,0.298466927208125,0.186781402208845,0.999
"3","age04",-0.180829048580473,0.0445568121972817,-0.0663282879307484,0.136
"4","depratio",-0.00872328125603941,0.229205633182499,0.110095611646108,0.963
"5","pcfloor",0.207703296671879,0.425735167272096,0.315394121603251,1
"6","eschild",-0.132126334304775,0.112319880532006,-0.00942996938105699,0.4385
"7","jschild",-0.106869777292096,0.0777606509494065,-0.0168393893601342,0.3615
"8","sschild",0.0427727350756371,0.219538244694063,0.129441340447596,0.9975
"9","hhmale",-0.0416424745607515,0.381266757685352,0.171901868364239,0.9435
"10","hhmarried",0.470686064347036,0.843615538195634,0.660525322952922,1
"11","hheduc2",-0.0385905434011243,0.207641351209665,0.0879453109295164,0.921
"12","hheduc3",0.022234948400659,0.337626665194251,0.176119593288375,0.99
"13","hheduc4",0.101692166214363,0.432755059735188,0.272028472071143,0.999
"14","higheduc2",-0.368979505364373,0.0638967360020916,-0.157100643192859,0.0775
"15","higheduc3",-0.265203625839126,0.169346145355478,-0.0519011186716475,0.3245
"16","higheduc4",-0.120521268395883,0.337730623992827,0.110316646615025,0.8175
"17","tfloor",0.181752425531634,0.51034803703683,0.343292282325346,1
"18","twall",0.231975728937028,0.453304012781476,0.345465049997548,1
"19","toilet",0.278818352652371,0.507310460244959,0.392503408745007,1
"20","water",-0.145959069733756,0.119946400561585,-0.0136809822240478,0.422
"21","lighting",0.231240599864871,0.495284474106391,0.362176766310889,1
"22","troof",0.0461054828093699,0.477927166538875,0.277351150421202,0.992
"23","fcook",0.0684385658599361,0.30960074237362,0.18815551300529,1
"24","house",0.178660465230382,0.421921557004862,0.302579512520597,1
"25","computer",0.426005593237375,0.852498216207656,0.636857561827236,1
"26","radio",-0.0626088460170086,0.114823810196339,0.0244809000917161,0.697
"27","tv",-0.0304104332071652,0.263173617366452,0.114621907014863,0.9355
"28","dvd",0.0305480906842735,0.237599860871936,0.135795789418773,0.995
"29","satellite",-0.0417050643465495,0.306921831984401,0.130946062769254,0.928
"30","ac",0.279451603971135,1.29386857287348,0.785512252498967,0.9995
"31","gas",0.0775044725672632,0.351850272629392,0.213444099225253,0.999
"32","refrigerator",0.343723760028563,0.599195012919244,0.465689932718051,1
"33","bicycle",-0.148089041154242,0.0826024927220654,-0.0337359491570806,0.269
"34","motorcycle",0.414636852842547,0.621675057829251,0.519065554762177,1
"35","auto",0.682019762241253,1.13619718326563,0.913764279247678,1
"36","hp",-0.012343456929775,0.20480406240736,0.0973144261030285,0.96
"37","jewelry",0.048518688605095,0.234209370663367,0.14006830851701,0.9985
"38","chicken",-0.0847464507482518,0.108447995017009,0.0114108994633583,0.5945
"39","cow",0.191003661949617,0.573162969407317,0.385315379402684,1
"40","credit",-0.241432548461389,0.0903686151675522,-0.0732651120631775,0.201
"41","hhsector1",-0.288219128156402,0.814472639110997,0.248445665364134,0.802
"42","hhsector2",-0.522746495080429,0.633970039878219,0.0462103713885556,0.5675
"43","hhsector3",-0.30130794140855,0.778533834791058,0.223954483280963,0.78
"44","formal",-0.697579023449715,0.481127770838866,-0.0978219613856158,0.375
"45","informal",-0.79616892437275,0.356833325137974,-0.207949900665921,0.2385
