"","parameter","X2.5.","X97.5.","mean","pprob0"
"1","hhsize",-0.386921483768981,-0.0980132679796135,-0.241619453052116,5e-04
"2","hhage",0.0908404038212272,0.310361341517131,0.202093355829016,1
"3","age04",-0.164336163745771,0.0669585260349676,-0.0493498825672838,0.2
"4","depratio",-0.00654292562186607,0.232180294552596,0.111306503311638,0.9655
"5","pcfloor",0.206219724975846,0.423340563901306,0.316415618652543,1
"6","eschild",-0.127701088702787,0.119653011805141,-0.0042747117684654,0.4715
"7","jschild",-0.115741888976434,0.0739714477705844,-0.02028604588833,0.3375
"8","sschild",0.0365571295871969,0.222143075005621,0.130936042341394,0.998
"9","connected",-0.10106957509687,0.0835317430115868,-0.00618361304141507,0.441
"10","hhmale",-0.0611409332290352,0.37294075993502,0.153151617472768,0.9125
"11","hhmarried",0.486714722238032,0.87143423886898,0.678179433012863,1
"12","hheduc2",-0.0223675694468874,0.210060613774938,0.0908575438295223,0.9395
"13","hheduc3",0.0279544316159763,0.34943033055174,0.186073814388657,0.9915
"14","hheduc4",0.114318904304793,0.453497865866846,0.278940032139491,0.9985
"15","higheduc2",-0.324174950928926,0.13164103572582,-0.0967960799532318,0.217
"16","higheduc3",-0.229697730249596,0.251921152529797,0.0107761844476268,0.532
"17","higheduc4",-0.0778559415643246,0.426847209997634,0.172476801032723,0.9115
"18","tfloor",0.198334928377171,0.567954614404893,0.383736777824141,1
"19","twall",0.228727112446083,0.448865067118209,0.339332169756937,1
"20","toilet",0.287636502267819,0.511850844409209,0.399066941547397,1
"21","water",-0.105489743539185,0.149432507230604,0.0158937555974226,0.6015
"22","lighting",0.244019224288268,0.512528241390086,0.375244844405274,1
"23","troof",0.12100310021225,0.482506696559083,0.292906257678766,0.9995
"24","fcook",0.0655457052006593,0.29880961867329,0.186176487418165,0.9995
"25","house",0.184395696123564,0.449516553259813,0.322762483683301,1
"26","computer",0.431862626169362,0.843649420076493,0.637910278606213,1
"27","radio",-0.069113470247259,0.111009523004847,0.0213895984828135,0.668
"28","tv",-0.0345762284769711,0.269851988047548,0.119592713749498,0.9385
"29","dvd",0.0310008537095208,0.234946317878428,0.135639714654845,0.9925
"30","satellite",-0.0839173674099536,0.334171074077141,0.133841813385188,0.8995
"31","ac",0.325769549270639,1.36349463412089,0.834331568451455,0.999
"32","gas",0.0795294957207589,0.340715794277563,0.214270863986823,0.9995
"33","refrigerator",0.346354509891386,0.594874634077166,0.469627119415996,1
"34","bicycle",-0.141077151830311,0.0868383896907174,-0.0280365524039315,0.3085
"35","motorcycle",0.412158204250077,0.622554391134202,0.517082910226193,1
"36","auto",0.671519276549338,1.13269624072379,0.908330621619355,1
"37","hp",-0.0126763061658971,0.205513378687264,0.0985707389411557,0.9575
"38","jewelry",0.048429432060435,0.241621240551757,0.141396169040221,0.9975
"39","chicken",-0.0799181858638211,0.12605586792586,0.0228053780080903,0.6715
"40","cow",0.217373395221133,0.590679167053646,0.402179644798551,1
"41","credit",-0.231274609691912,0.091975898318326,-0.06935921536866,0.1985
"42","hhsector1",-0.281171168622551,0.831918554438184,0.277498615034277,0.8425
"43","hhsector2",-0.493502000409417,0.60132459223512,0.0689470156473617,0.5905
"44","hhsector3",-0.309091784162675,0.790177185413014,0.242996160753909,0.8135
"45","formal",-0.57036391990314,0.572405888744289,-0.0255480919795688,0.457
"46","informal",-0.699564982848826,0.470190315812853,-0.128561353700141,0.332
