"","parameter","rep","CBT_ncomm","Hybrid_mu_beta_mean_noelite","Hybrid_beta_rank_mean_noelite","Hybrid_beta_micro_mean_noelite","Hybrid_mu_beta_mean","Hybrid_beta_rank_mean","Hybrid_beta_micro_mean","CB_beta_rank_mean_noelite","CB_beta_rank_mean","CB_DU_beta_rank_mean","PMT_beta"
"1","hhsize",1,10,-0.499104687457746,-0.411444608111763,-0.630227803755645,-0.487174010782512,-0.397385059991645,-0.629088898003821,-0.0498198506571898,0.28209909937658,-0.384776821527761,-0.874904290312843
"2","hhage",1,10,-0.00985743230558891,-0.0255278494488679,0.00639270193516645,-0.022384758807995,-0.046981097511313,0.00545377713310446,-0.607477692110608,-0.763178184006179,0.347864122517661,-0.499094901010463
"3","age04",1,10,0.00476050024413779,-0.0169304682781929,0.0237834457609295,0.00307722637059065,-0.0105192030159726,0.0222098464916996,-0.958804823463286,-1.02418768888385,-0.0299133147849109,-0.24209884541354
"4","depratio",1,10,-0.0851869012195928,0.0123405062718721,-0.186717482277978,-0.0663783164030461,0.0448434065818634,-0.183192052881166,1.74508122766483,1.73320003217376,0.220226914803793,0.315798224517101
"5","pcfloor",1,10,0.358782189810773,0.503486886399777,0.25938755328434,0.385401581904198,0.550603481428409,0.260966619661765,1.54429577358531,1.88351879854571,0.53204977882866,0.657393186866714
"6","eschild",1,10,-0.101941118289139,-0.224878931955618,0.0250192014938937,-0.116143230290432,-0.256539139085244,0.0212817410872014,-1.81008970867914,-1.95685429985799,-0.0230362876096277,-0.0660215108448155
"7","jschild",1,10,0.107646253567801,0.13681900927318,0.0822170717399618,0.108837131886576,0.134747369663975,0.081564756268275,0.00319195461760866,-0.0300461128511493,0.084981867582875,-0.0304210171089547
"8","sschild",1,10,0.228839511512109,0.391167390058344,0.0789406644037315,0.241101778101812,0.421473417111018,0.0799345940466392,1.25569825037561,1.25890838903022,0.318424189975839,-0.248698129731644
"9","connected",1,10,-0.0468798635173562,-0.131781280792104,0.00972219308180053,0,0,0,-0.294799222892162,0,0,0
"10","hhmale",1,10,0.0138422828161358,0.0542171272174376,-0.0337751520861252,0.00186258358961202,0.0384574067963562,-0.0350540825227548,-0.609470941746538,-0.78682827084877,0.513285430253116,0.71529360341023
