"","parameter","X2.5.","X97.5.","mean"
"1","rooms",-0.120337686020759,0.284997326643779,0.089664320876978
"2","hhsize",0.20462496231864,0.633778541000552,0.427152191645778
"3","age1660",-0.284136806912221,0.0424757051113536,-0.117420023436306
"4","age60",-0.488305376491839,-0.128161599841724,-0.311996196493164
"5","floor",0.314103834986455,0.744456459328814,0.522986879349
"6","walls",0.058907617210238,0.484013774170339,0.275580986246482
"7","roof",0.0788091589748357,0.474178362054238,0.278608099972818
"8","toilet",0.125708795353874,0.440554588280289,0.283518554807839
"9","well",-0.145699029243163,0.182026363753811,0.00693706562982799
"10","water",-0.277792206433274,0.141739126298945,-0.047576274206799
"11","waste",-0.113122276775983,1.01952424305531,0.449823967097893
"12","male",-0.75102105890905,-0.10354412014864,-0.444471741520181
"13","married",-0.123862246890151,0.242269932200891,0.0660479421566959
"14","widow",-0.446793212240406,0.164086916628992,-0.141098779234975
"15","primary",-0.194633447867163,0.110053874506594,-0.038100735700206
"16","secondary",-0.222334338079726,0.214793699104588,0.00359188981381174
"17","tertiary",0.522785709898267,2.15262824849064,1.29311855351016
"18","literacy",-0.0104309227199667,0.277418890557434,0.134087559419327
"19","agriculture",-0.362292588766702,-0.0522671407664261,-0.20855466820565
"20","cart",-0.220900567562373,0.1679384295141,-0.0280925380329108
"21","plow",-0.292674352305106,0.064781988724397,-0.11072694352927
"22","bike",-0.116722710819379,0.324609010273074,0.0977490324356275
"23","motorbike",0.142957025641847,0.509515156668574,0.328669426244307
"24","car",-0.237234391723671,1.04736024575125,0.403928102197567
"25","radio",-0.128414884968782,0.171720660072337,0.0199774757580566
"26","tv",-0.127772950212539,0.325930681090727,0.105157258014988
"27","fridge",0.0363946151866643,0.997769667463785,0.50409378862655
"28","kitchen",-0.129177521970406,0.856857836446164,0.353054354090694
"29","horse",-0.0419954569571615,0.338545250425615,0.157496115381125
"30","goat",-0.0615036960757337,0.33534718275654,0.133362101169975
"31","chicken",-0.275364863843223,0.0847904641202709,-0.0978109954367662
"32","bullock",0.175606235031379,0.529372375658258,0.352099981936042
"33","pig",-0.100485575069474,0.24958433959391,0.0835721512521135
