"","CBT_ncomm","Method","mean","var"
"1",5,"Hybrid-AI-EC",0.48205467372134,0.1157184030515
"2",5,"Hybrid-AI",0.477524830595006,0.116643185382605
"3",5,"Hybrid",0.574304975401467,0.107804039539534
"4",5,"Hybrid-EC",0.578464680219066,0.106585910522629
"5",5,"Hybrid-DU",0.445770676691729,0.104115554945817
"6",5,"Probit",0.674576487515084,0.095419724521897
"7",5,"PMT",0.678499489464402,0.0996350471462371
"8",25,"Hybrid-AI-EC",0.425585346553088,0.112003405910363
"9",25,"Hybrid-AI",0.432653726202113,0.115600104108871
"10",25,"Hybrid",0.446329656007075,0.114186115214275
"11",25,"Hybrid-EC",0.440878834427222,0.11424886525431
"12",25,"Hybrid-DU",0.440301633850021,0.106343916646963
"13",25,"Probit",0.48937415630964,0.114595987877038
"14",25,"PMT",0.593262114229856,0.121075397868866
