"","CBT_ncomm","Method","mean","var"
"1",5,"Hybrid-AI-EC",0.476293743618305,0.116796100802071
"2",5,"Hybrid-AI",0.469234428664253,0.11676426336299
"3",5,"Hybrid",0.571282372598162,0.113543076328251
"4",5,"Hybrid-EC",0.574179662118259,0.1114208913245
"5",5,"Hybrid-DU",0.430821266128284,0.101532025403937
"6",5,"Probit",0.671284693214518,0.0999008858924489
"7",5,"PMT",0.678499489464402,0.0996350471462371
"8",10,"Hybrid-AI-EC",0.41468253968254,0.111832179115349
"9",10,"Hybrid-AI",0.421993603411514,0.109637197063187
"10",10,"Hybrid",0.455280739161336,0.113490643354525
"11",10,"Hybrid-EC",0.449810471452262,0.112971890325513
"12",10,"Hybrid-DU",0.419282160625444,0.105434254378917
"13",10,"Probit",0.555953565505804,0.114703785709303
"14",10,"PMT",0.617853589196873,0.120755669109898
"15",15,"Hybrid-AI-EC",0.420179350692946,0.106161777864219
"16",15,"Hybrid-AI",0.416024073274829,0.10743653063333
"17",15,"Hybrid",0.4444840070973,0.109041289123636
"18",15,"Hybrid-EC",0.441080420083441,0.109124142789324
"19",15,"Hybrid-DU",0.426335539250947,0.104753876281429
"20",15,"Probit",0.488703064307294,0.109213908460443
"21",15,"PMT",0.643861794466024,0.105599875213368
"22",25,"Hybrid-AI-EC",0.411736023832798,0.105928834084154
"23",25,"Hybrid-AI",0.417963040543686,0.108695871674504
"24",25,"Hybrid",0.433037750779686,0.11061540762658
"25",25,"Hybrid-EC",0.428167620909556,0.11117591995751
"26",25,"Hybrid-DU",0.419520085649118,0.104185033407759
"27",25,"Probit",0.469146534469115,0.115214628131379
"28",25,"PMT",0.593262114229856,0.121075397868866
