"","parameter","rep","CBT_ncomm","Hybrid_mu_beta_mean_noelite","Hybrid_beta_rank_mean_noelite","Hybrid_beta_micro_mean_noelite","Hybrid_mu_beta_mean","Hybrid_beta_rank_mean","Hybrid_beta_micro_mean","CB_beta_rank_mean_noelite","CB_beta_rank_mean","CB_DU_beta_rank_mean","PMT_beta"
"1","rooms",1,5,0.220854316347765,0.429818805045494,0.0246162063021776,0.234960383883173,0.488949712537834,0.023920550369556,0.539773742896229,0.270799177141899,0.255583345845169,-1.67197496984385
"2","hhsize",1,5,-0.0603943029582569,0.0253512882609574,-0.151547558184158,-0.0556658598134601,0.0586006327919791,-0.17098463330026,1.15379733616396,1.41562488619018,0.615571235586537,0.0515747662705177
"3","age1660",1,5,0.18679799534023,0.224054901311716,0.18190471612838,0.201010989507589,0.264055341165772,0.18202875415838,0.825649232104705,0.762915204477653,-0.213932434364728,0.90864914072919
"4","age60",1,5,-0.226659840577736,-0.152449840019052,-0.329683377103549,-0.200377808331427,-0.105866566672089,-0.330025018589139,0.374897176882078,0.43270098686488,-0.509202869282433,-0.124571386735834
"5","floor",1,5,0.349289506789442,0.526456019449993,0.259549436949924,0.381631425190377,0.56124838967861,0.275979331086429,-0.0187048150249357,0.129843218659771,0.858644832223808,0.282830544988817
"6","walls",1,5,0.348547291688928,0.647372306341112,0.103518426539187,0.333454881572618,0.643901943258891,0.110467762522587,1.74457499850648,1.85279102902293,0.217042859195969,0.498087365952971
"7","roof",1,5,0.235650747583811,0.647067558963758,-0.129555320994233,0.245688617298204,0.682212774599361,-0.127453650715716,1.69332505869761,1.76617922281257,0.312869605002181,-1.3042093693555
"8","toilet",1,5,0.181341786370416,0.367777964316662,0.0405923711142873,0.231118643478113,0.460466586446694,0.048939937564333,0.786600489031145,0.890110323797857,0.616775333444095,0.922784957721521
"9","well",1,5,0.229192609057454,0.590103572349972,-0.0894625660492911,0.233586781422975,0.604392945250159,-0.0769593226968474,1.24374285835829,1.3362116801625,-0.115590768053293,0.131450611564281
"10","water",1,5,0.0649606308984201,0.120672290453491,0.0177562400120925,0.0864548945970406,0.144694759466482,0.0245810310051595,0.300514224880498,0.644951338623347,0.130520416804794,0.76439157739139
"11","waste",1,5,0.109436026398331,0.0368409142386957,0.201671435479905,0.135590671103926,0.0848884271600058,0.21065395760208,-1.67600680259841,-1.50510970606194,0.66653665074051,2.85483299316345
"12","male",1,5,-0.501755960408056,-0.604496926402277,-0.493720567800166,-0.50206213994764,-0.601072381007744,-0.494366716431983,0.0634812644840045,0.383730948749082,-0.629540999009014,1.82030454425665
"13","married",1,5,-0.016599277004757,-0.107974419142805,0.069879471569652,-0.0116143201294287,-0.113162131128458,0.0754017257161827,-0.753866412124765,-0.823172613528162,0.0296062376588855,0.704407001929945
"14","widow",1,5,0.232928979982719,0.0194226409971443,0.480434747340148,0.20432126330266,-0.0374856746735245,0.485986689548986,-1.60910931608387,-1.66594126469736,-0.357332549486621,-1.03645915592693
"15","minority",1,5,-0.16873680356047,-0.246571222535889,-0.117560805312629,0,0,0,-0.712316105125001,0,0,0
"16","primary",1,5,0.130530429572993,0.217585775729591,0.0822118422496017,0.144454419312563,0.216252390147269,0.0951404055214784,0.553157044660931,0.42154278765598,-0.0645089015838929,-0.778657596959637
"17","secondary",1,5,0.407180153897079,0.739745450762583,0.163345741188207,0.416363751651354,0.753760673373238,0.17120972471811,0.952826287333852,0.781389114726773,0.198274077872653,-0.322116243800939
"18","tertiary",1,5,0.0842365849207013,0.350035857423549,-0.152345356692115,0.0461456957233825,0.318911915214097,-0.212626808299635,1.55150295242875,1.60435517414061,1.84136393968655,3.37820967743926
"19","literacy",1,5,0.259405499569495,0.47926554801604,0.0712569513370247,0.257968508651597,0.509203459731534,0.0630287880824775,0.576341630531014,0.565874810073352,0.154394898689324,-0.18572937218836
"20","agriculture",1,5,0.255484110182529,0.365878826037414,0.205284202351176,0.282584603900994,0.407715710150909,0.209808335170918,1.01378058916968,0.954694122392945,-0.149320660128198,-0.270169391086769
"21","cart",1,5,0.287924886616655,0.531541218410558,0.10696196102479,0.283491626284809,0.513561607506204,0.116846268828768,1.79587948479684,1.88406138445747,0.201277143231115,-1.12175967457548
"22","plow",1,5,0.169730286499174,0.249027821404306,0.11855716990557,0.149989035990085,0.223589072850287,0.106855521419969,0.338682997261726,0.448571602682386,0.0107740942253181,0.222736630789337
"23","bike",1,5,0.250004042677737,0.214564570088111,0.335281382289555,0.213438640362049,0.155748729873567,0.317332762531159,-0.644592236468916,-0.379642751195817,0.257354023305994,1.29458392484838
"24","motorbike",1,5,0.32443609154375,0.643056535391406,0.0796765149889436,0.339325632791579,0.687058018478937,0.0706502731818664,0.640022026090397,0.826224382515086,0.527226275033057,0.362719007407521
"25","car",1,5,-0.0539144729397889,0.0942164379395821,-0.205461374879214,-0.0380520138731647,0.117196806919226,-0.231719444224529,1.71481109229846,1.78225139597839,0.391871512120257,4.06530654305355
"26","radio",1,5,0.057767986897565,0.0786901510871731,0.058123561314575,0.0499107746533649,0.0602810984973384,0.0647411005619503,-0.268645337973404,-0.610707336710685,-0.067392845899778,-0.558437668752298
"27","tv",1,5,0.115981721270146,0.0969875636505594,0.168284023010773,0.129350774711539,0.102592108678028,0.173896630957024,-1.10968158708867,-1.39160222410638,-0.0646211241490033,1.08192341879527
"28","fridge",1,5,0.153787200626435,0.47425160973044,-0.136219017767473,0.151293027077761,0.460794766492141,-0.1421278703977,0.729423108151155,1.06128714543326,0.760665493998738,-1.34707430912215
"29","kitchen",1,5,0.429920377570977,0.515057775633938,0.433090063640454,0.431775621919887,0.536726183207656,0.432309961909806,1.79719542997723,2.01905729053379,0.586293020181682,1.32943926131608
"30","horse",1,5,0.0355144825387079,0.145473569038433,-0.0548512787636273,0.0425981296051344,0.159212377806839,-0.0564349331046353,0.628573027266312,0.560354743054217,0.09028167255066,0.483108623304694
"31","goat",1,5,0.0513767873750383,0.0247489666202855,0.0880149495140338,0.0737670226170507,0.0620580632641865,0.0834859336165896,0.348749587226118,0.371277525633058,-0.0832490209585579,1.2814185731775
"32","chicken",1,5,0.287701896227717,0.318688929743066,0.319998443012918,0.309411052903436,0.344868617003539,0.326112535181091,-0.679895659654407,-0.584927295239569,-0.000922248247495415,-0.872044034374305
"33","bullock",1,5,0.05808448245983,0.11790354902832,0.032264576437931,0.0725530939902003,0.127801156876877,0.0457103690742085,-0.798011909193529,-0.488564513748927,0.526891391233841,1.4388420730913
"34","pig",1,5,-0.129108693272224,-0.399630933927862,0.109063067633843,-0.129644868283717,-0.41118486858363,0.123454833111499,-2.79898847773664,-2.30641933114217,0.263536299968501,-0.622514940609252
"35","rooms",2,5,0.104589149209877,0.237228876101559,0.0187340728941742,0.103373320399518,0.242119374773167,0.0153930372004066,0.179803080310026,-0.0227490925073319,0.175159400150017,0.180071946021725
"36","hhsize",2,5,-0.125277972716067,-0.0980467943179063,-0.162206494850253,-0.120882845031364,-0.0804535305001847,-0.170331858827032,-0.0110602587709896,0.563878786775267,0.536919916623472,-1.0079011972642
"37","age1660",2,5,0.262119024394356,0.3857485825608,0.185133050289987,0.280211407426243,0.407504093363221,0.18630496141146,0.488262697558764,0.58546313050091,-0.155960012088143,-0.201538568560791
"38","age60",2,5,-0.376647612980895,-0.48771315773537,-0.338715061477699,-0.372165471645429,-0.462147201886803,-0.336401812854191,-0.476848087614475,-0.740960070459933,-0.548347971544972,-0.463839357982945
"39","floor",2,5,0.461989137509316,0.727730801298842,0.273395085945042,0.461264643371878,0.712035805822338,0.281627761011103,0.773062944409296,0.87530564281296,0.912216320485508,0.100758187726385
"40","walls",2,5,0.273230867194012,0.496176252370245,0.101086766119387,0.297999825543794,0.518304089775706,0.106847688077245,1.74243041848199,1.53939471217722,0.217428331852257,-0.106345081873286
"41","roof",2,5,0.153911469700256,0.476853012063758,-0.133887215326642,0.142355040501032,0.42620998338912,-0.129655621445566,0.571008895471362,0.446845134291049,0.332142217289521,-0.783874079805375
"42","toilet",2,5,-0.116131741518474,-0.243455961313363,0.0220126244439683,-0.0965480961370943,-0.243521147490256,0.0366235930546152,-0.979061586721934,-1.30338740650912,0.586807626073169,0.899575315057497
"43","well",2,5,0.178952377516849,0.482590810776956,-0.0925483345183181,0.147740211672734,0.413958711510489,-0.0835726656264701,0.308370892856406,0.111120035141023,-0.0708175832899773,0.236035776769033
