"parameter","CB_beta_rank_mean_noelite","CB_beta_rank_mean","PMT_beta"
"rooms",0.137174243333136,0.089664320876978,0.0147189956071756
"hhsize",0.392018699235429,0.427152191645778,-0.233398352121845
"age1660",-0.114549038885364,-0.117420023436306,0.284962595797729
"age60",-0.315325013076947,-0.311996196493164,0.0109524138673832
"floor",0.531740566329326,0.522986879349,0.202338218232178
"walls",0.266975216737453,0.275580986246482,0.0811114908066341
"roof",0.280658647386917,0.278608099972818,-0.0502389665497458
"toilet",0.243302930511885,0.283518554807839,0.119570634369165
"well",0.000992728173273639,0.00693706562982799,0.0469962410431159
"water",-0.0616415828797918,-0.047576274206799,0.024315256316836
"waste",0.496425594216304,0.449823967097893,-0.076731618970296
"male",-0.459783593734848,-0.444471741520181,-0.30783528775332
"married",0.0552979078630753,0.0660479421566959,0.0808341600229452
"widow",-0.153725390683531,-0.141098779234975,0.513474929951264
"minority",0.316894061295821,0,0
"primary",-0.0254728038960742,-0.038100735700206,0.0881519744461933
"secondary",-0.0042547945684611,0.00359188981381174,0.202326191381679
"tertiary",1.13381779157669,1.29311855351016,-0.0327955768522597
"literacy",0.124664236890449,0.134087559419327,0.0644990270114994
"agriculture",-0.196663627948944,-0.20855466820565,0.126814133818604
"cart",-0.0113265026219707,-0.0280925380329108,0.0784379952347988
"plow",-0.109359627675698,-0.11072694352927,0.160543381387265
"bike",0.0112310456807962,0.0977490324356275,0.554405599686202
"motorbike",0.33615890550775,0.328669426244307,0.145600223151323
"car",0.353448551437362,0.403928102197567,-0.0970749150835217
"radio",0.0289416212405291,0.0199774757580566,0.034367176322507
"tv",0.10191360832628,0.105157258014988,0.22402772017834
"fridge",0.56730219903077,0.50409378862655,-0.0413550452871122
"kitchen",0.253301563221439,0.353054354090694,0.478126445827804
"horse",0.161980722701134,0.157496115381125,-0.0450547771471527
"goat",0.127098977602013,0.133362101169975,0.0721489413254827
"chicken",-0.095561868656075,-0.0978109954367662,0.215393616936708
"bullock",0.369151143235186,0.352099981936042,-0.00770122594897885
"pig",0.0954081569887194,0.0835721512521135,0.113304766038029
