hhid,year,community,rural,treated,informant1,informant2,informant3,consumption,rooms,floor,walls,roof,toilet,well,water,waste,hhsize,male,married,widow,age1660,age60,minority,primary,secondary,tertiary,literacy,agriculture,cart,plow,bike,motorbike,car,radio,tv,fridge,kitchen,horse,goat,chicken,bullock,pig
"004",2008,"002",1,0,28,39,44,1167.826,3,1,0,0,1,0,0,0,12,1,0,1,.25,.0833333,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,1
"001",2008,"002",1,1,54,49,53,1492.431,4,0,0,0,0,1,1,0,12,0,0,1,.3333333,.0833333,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,1
"006",2008,"002",1,0,41,35,23,1568.946,6,0,0,0,0,0,1,0,12,0,1,0,.6666667,0,1,1,0,0,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,0
"003",2008,"002",1,1,48,52,52,1637.849,3,0,0,0,0,1,1,0,3,0,0,1,0,.6666667,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0
"005",2008,"002",1,0,11,13,38,1895.14,12,0,0,0,0,0,1,0,28,0,1,0,.5357143,.0714286,1,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,1,0
"002",2008,"002",1,0,15,29,16,2432.5,9,0,0,0,0,1,1,0,19,1,0,1,.4210526,.0526316,0,1,1,0,0,0,1,1,1,0,0,1,0,0,0,1,1,1,1,1
"008",2008,"004",1,1,22,14,16,1797.974,3,0,0,0,0,0,0,0,6,0,0,0,.3333333,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0
"007",2008,"004",1,0,16,6,10,4509.452,4,0,0,0,0,1,1,0,7,0,0,0,.8571429,.1428571,1,0,0,0,1,1,1,1,1,0,0,1,0,0,0,1,1,1,0,1
"009",2008,"004",1,0,1,1,1,13836.47,5,0,0,0,1,0,1,0,4,0,1,0,.75,.25,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,0
"017",2008,"007",1,1,61,61,61,350.525,2,0,0,0,0,0,1,0,4,1,0,0,.25,.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"014",2008,"007",1,1,55,40,58,883.0421,2,0,0,0,0,0,1,0,7,0,0,0,.5714286,0,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,1,0,1,0,0
"016",2008,"007",1,0,36,26,37,1210.708,3,0,0,0,0,0,0,0,5,0,0,0,.4,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,0,1
"015",2008,"007",1,0,24,27,31,1371.538,1,0,0,0,0,0,1,0,8,0,0,0,.375,0,1,1,0,0,0,1,1,1,1,0,0,1,0,0,0,1,1,1,1,0
"013",2008,"007",1,1,45,57,50,1525.309,2,0,0,0,0,1,1,0,7,0,0,0,.5714286,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,1,1,1,1
"011",2008,"007",1,1,44,6,57,1555.356,10,0,0,.a,0,0,1,0,16,1,0,1,.375,.0625,1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1
"010",2008,"007",1,1,60,55,51,1783.636,3,0,1,0,0,0,0,0,6,0,0,0,.3333333,.1666667,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1
"018",2008,"007",1,0,46,31,40,2324.697,4,0,0,0,0,0,1,0,7,0,0,0,.4285714,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1,0,0
"012",2008,"007",1,0,10,18,33,2478.256,6,0,0,0,0,0,1,0,11,0,0,0,.4545455,0,1,1,0,0,1,1,1,1,1,0,0,1,0,0,0,1,1,1,0,1
"026",2008,"009",1,1,62,64,63,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"021",2008,"009",1,1,60,50,55,942.4243,1,0,0,0,0,0,1,0,12,0,0,0,.5,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0
"022",2008,"009",1,0,26,22,41,1091.515,4,0,0,0,0,0,0,0,8,0,0,0,.375,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1
"019",2008,"009",1,0,40,52,35,1471.741,1,0,0,0,0,0,0,0,8,0,0,0,.5,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"025",2008,"009",1,0,50,46,25,1556.917,2,0,0,0,0,1,1,0,10,0,0,0,.6,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1
"024",2008,"009",1,0,41,41,46,2085.417,2,0,0,0,0,0,1,0,8,0,0,0,.5,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0,1,1,1,0,0
"020",2008,"009",1,0,27,18,36,2737.595,4,0,0,0,0,0,1,0,6,0,0,0,.8333333,0,1,1,0,0,1,1,0,1,1,0,0,1,0,0,0,0,1,1,1,0
"023",2008,"009",1,0,48,26,23,5096.882,2,0,0,0,0,0,1,0,6,0,0,0,.6666667,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0,1,1,1,0,1
"028",2008,"011",1,1,62,56,60,643.5906,4,0,0,0,0,1,0,0,10,0,0,0,.5,.1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
"033",2008,"011",1,0,5,37,7,923.3334,4,0,0,0,0,1,0,0,11,0,0,0,.5454546,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0
"030",2008,"011",1,1,49,32,53,1329.063,8,0,0,1,0,0,1,0,13,0,1,0,.3846154,.0769231,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1,0,1
"029",2008,"011",1,0,15,47,30,1387.32,3,0,0,0,0,0,1,0,7,0,0,0,.7142857,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0
"031",2008,"011",1,0,39,55,32,1963.278,4,0,0,0,0,0,1,0,9,0,1,0,.4444444,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0
"032",2008,"011",1,0,45,7,4,2046.473,9,0,0,0,0,0,1,0,15,0,1,0,.5333334,.1333333,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,1
"034",2008,"011",1,1,59,61,65,2660.84,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0
"027",2008,"011",1,1,57,8,16,3435.162,6,0,0,0,0,0,1,0,24,1,1,0,.5,0,0,1,1,0,0,1,0,0,1,1,0,1,1,0,0,0,1,1,0,0
"053",2008,"014",1,0,146,40,126,66.66666,4,0,0,0,0,1,1,0,2,1,0,1,.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"059",2008,"014",1,0,32,20,29,705.5556,3,0,0,1,0,1,1,0,4,0,0,0,.5,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1
"040",2008,"014",1,0,106,154,105,1012.382,1,0,0,0,0,1,1,0,8,0,0,0,.25,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1
"039",2008,"014",1,0,57,231,77,1241.046,4,0,0,0,0,1,1,0,10,0,0,0,.4,0,0,1,0,0,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1
"051",2008,"014",1,1,230,144,229,1444.69,2,0,1,0,0,1,1,0,8,0,0,0,.5,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"061",2008,"014",1,1,281,266,285,1537.492,4,0,0,0,0,1,1,0,7,0,0,0,.2857143,.1428571,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
