hhea,hhid_ranker,hhid_ranked,rank
"001","001025","001564",1
"001","001025","001473",2
"001","001025","001627",3
"001","001025","001302",4
"001","001025","001476",5
"001","001025","001816",6
"001","001025","001468",7
"001","001302","001564",1
"001","001302","001627",2
"001","001302","001473",3
"001","001302","001816",4
"001","001302","001025",5
"001","001302","001476",6
"001","001302","001468",7
"001","001468","001564",1
"001","001468","001473",2
"001","001468","001627",3
"001","001468","001025",4
"001","001468","001816",5
"001","001468","001302",6
"001","001468","001476",7
"001","001473","001564",1
"001","001473","001816",2
"001","001473","001302",3
"001","001473","001627",4
"001","001473","001468",5
"001","001473","001476",6
"001","001473","001025",7
"001","001476","001564",1
"001","001476","001816",2
"001","001476","001627",3
"001","001476","001302",4
"001","001476","001473",5
"001","001476","001468",6
"001","001476","001025",7
"001","001564","001627",1
"001","001564","001302",2
"001","001564","001816",3
"001","001564","001476",4
"001","001564","001025",5
"001","001564","001468",6
"001","001564","001473",7
"001","001627","001564",1
"001","001627","001468",2
"001","001627","001473",3
"001","001627","001302",4
"001","001627","001025",5
"001","001627","001476",6
"001","001627","001816",7
"001","001904","001025",1
"001","001904","001627",2
"001","001904","001473",3
"001","001904","001564",4
"001","001904","001476",5
"001","001904","001816",6
"001","001904","001302",7
"001","001904","001468",8
"002","002001","002498",1
"002","002001","002004",2
"002","002001","002125",3
"002","002001","002638",4
"002","002001","002030",5
"002","002001","002146",6
"002","002001","002042",7
"002","002001","002013",8
"002","002004","002146",1
"002","002004","002001",2
"002","002004","002125",3
"002","002004","002498",4
"002","002004","002638",5
"002","002004","002042",6
"002","002004","002030",7
"002","002013","002001",1
"002","002013","002004",2
"002","002013","002125",3
"002","002013","002638",4
"002","002013","002498",5
"002","002013","002042",6
"002","002013","002030",7
"002","002013","002146",8
"002","002030","002001",1
"002","002030","002004",2
"002","002030","002498",3
"002","002030","002125",4
"002","002030","002638",5
"002","002030","002013",6
"002","002030","002042",7
"002","002030","002146",8
"002","002125","002001",1
"002","002125","002498",2
"002","002125","002004",3
"002","002125","002638",4
"002","002125","002030",5
"002","002125","002042",6
"002","002125","002013",7
"002","002125","002146",8
"002","002146","002498",1
"002","002146","002638",2
"002","002146","002125",3
"002","002146","002004",4
"002","002146","002030",5
"002","002146","002042",6
"002","002146","002001",7
"002","002575","002004",1
"002","002575","002125",2
"002","002575","002638",3
"002","002575","002001",4
"002","002575","002030",5
"002","002575","002042",6
"002","002575","002146",7
"002","002575","002013",8
"002","002638","002030",1
"002","002638","002125",2
"002","002638","002498",3
"002","002638","002001",4
"002","002638","002004",5
"002","002638","002042",6
"002","002638","002013",7
"002","002638","002146",8
"003","003016","003599",1
"003","003016","003996",2
"003","003016","003191",3
"003","003016","003089",4
"003","003016","003371",5
"003","003016","003987",6
"003","003016","003685",7
"003","003016","003174",8
"003","003089","003599",1
"003","003089","003996",2
"003","003089","003987",3
"003","003089","003685",4
"003","003089","003371",5
"003","003089","003174",6
"003","003089","003016",7
"003","003174","003685",1
"003","003174","003371",2
"003","003174","003089",3
"003","003174","003996",4
"003","003174","003987",5
"003","003174","003016",6
"003","003174","003191",7
"003","003191","003685",1
"003","003191","003996",2
"003","003191","003371",3
"003","003191","003599",4
"003","003191","003016",5
"003","003191","003987",6
"003","003191","003089",7
"003","003599","003371",1
"003","003599","003089",2
"003","003599","003987",3
"003","003599","003174",4
"003","003599","003016",5
"003","003685","003599",1
"003","003685","003987",2
"003","003685","003996",3
"003","003685","003089",4
"003","003685","003371",5
"003","003685","003016",6
"003","003685","003174",7
"003","003987","003685",1
"003","003987","003599",2
"003","003987","003089",3
"003","003987","003996",4
"003","003987","003371",5
"003","003987","003174",6
"003","003987","003191",7
"003","003987","003016",8
"003","003996","003371",1
"003","003996","003016",2
"003","003996","003174",3
"004","004147","004968",1
"004","004147","004840",2
"004","004147","004814",3
"004","004147","004637",4
"004","004147","004212",5
"004","004147","004580",6
"004","004147","004430",7
"004","004147","004181",8
"004","004181","004147",1
"004","004181","004637",2
"004","004181","004968",3
"004","004181","004212",4
"004","004181","004814",5
"004","004181","004580",6
"004","004181","004840",7
"004","004181","004430",8
"004","004212","004147",1
"004","004212","004968",2
"004","004212","004814",3
"004","004212","004840",4
"004","004212","004637",5
"004","004212","004430",6
"004","004212","004580",7
"004","004212","004181",8
"004","004430","004147",1
"004","004430","004637",2
"004","004430","004814",3
"004","004430","004968",4
"004","004430","004840",5
"004","004430","004212",6
"004","004430","004580",7
"004","004430","004181",8
"004","004637","004968",1
"004","004637","004147",2
"004","004637","004814",3
"004","004637","004840",4
"004","004637","004212",5
"004","004637","004430",6
"004","004637","004181",7
"004","004637","004580",8
"004","004814","004637",1
"004","004814","004212",2
"004","004814","004147",3
"004","004814","004430",4
"004","004814","004968",5
"004","004814","004580",6
"004","004814","004840",7
"004","004814","004181",8
"004","004840","004637",1
"004","004840","004212",2
"004","004840","004430",3
"004","004840","004814",4
"004","004840","004181",5
"004","004968","004637",1
"004","004968","004814",2
"004","004968","004147",3
"004","004968","004212",4
"004","004968","004840",5
"004","004968","004430",6
"004","004968","004181",7
"004","004968","004580",8
"005","005047","005312",1
"005","005047","005344",2
"005","005047","005203",3
"005","005047","005443",4
"005","005047","005067",5
"005","005047","005429",6
"005","005047","005448",7
"005","005047","005803",8
"005","005067","005203",1
"005","005067","005312",2
"005","005067","005443",3
"005","005067","005429",4
"005","005067","005344",5
"005","005067","005047",6
"005","005067","005448",7
"005","005067","005803",8
"005","005312","005203",1
"005","005312","005443",2
"005","005312","005429",3
"005","005312","005344",4
"005","005312","005067",5
"005","005312","005047",6
"005","005312","005803",7
"005","005312","005448",8
"005","005344","005443",1
"005","005344","005312",2
"005","005344","005203",3
"005","005344","005047",4
"005","005344","005429",5
"005","005344","005067",6
"005","005344","005448",7
"005","005344","005803",8
"005","005429","005312",1
"005","005429","005203",2
"005","005429","005344",3
"005","005429","005443",4
"005","005429","005047",5
"005","005429","005067",6
"005","005429","005448",7
"005","005429","005803",8
"005","005443","005312",1
"005","005443","005203",2
"005","005443","005067",3
"005","005443","005344",4
"005","005443","005429",5
"005","005443","005047",6
"005","005443","005448",7
"005","005443","005803",8
"005","005448","005443",1
"005","005448","005312",2
"005","005448","005344",3
"005","005448","005429",4
"005","005448","005203",5
"005","005448","005047",6
"005","005448","005067",7
"005","005448","005803",8
"005","005803","005443",1
"005","005803","005047",2
"005","005803","005312",3
"005","005803","005344",4
"005","005803","005203",5
"005","005803","005067",6
"005","005803","005429",7
"005","005803","005448",8
"006","006318","006383",1
"006","006318","006887",2
"006","006318","006548",3
"006","006318","006899",4
"006","006318","006591",5
"006","006318","006636",6
"006","006383","006899",1
"006","006383","006591",2
"006","006383","006887",3
"006","006383","006548",4
"006","006383","006583",5
"006","006383","006250",6
"006","006383","006636",7
"006","006548","006383",1
"006","006548","006899",2
"006","006548","006250",3
"006","006548","006636",4
"006","006548","006739",5
"006","006548","006591",6
"006","006548","006583",7
"006","006548","006887",8
"006","006591","006383",1
"006","006591","006899",2
"006","006591","006548",3
"006","006591","006250",4
"006","006591","006636",5
"006","006591","006887",6
"006","006591","006583",7
"006","006636","006383",1
"006","006636","006548",2
"006","006636","006899",3
"006","006636","006591",4
"006","006636","006887",5
"006","006636","006583",6
"006","006739","006548",1
"006","006739","006383",2
"006","006739","006250",3
"006","006739","006591",4
"006","006739","006583",5
"006","006887","006899",1
"006","006887","006548",2
"006","006887","006250",3
"006","006887","006591",4
"006","006887","006383",5
"006","006887","006583",6
"006","006887","006636",7
"006","006899","006383",1
"006","006899","006548",2
"006","006899","006250",3
"006","006899","006591",4
"006","006899","006583",5
"006","006899","006887",6
"006","006899","006636",7
"007","007304","007894",1
"007","007304","007549",2
"007","007304","007962",3
"007","007304","007727",4
"007","007304","007453",5
"007","007304","007488",6
"007","007304","007566",7
"007","007304","007401",8
"007","007401","007304",1
"007","007401","007488",2
"007","007401","007453",3
"007","007453","007566",1
"007","007453","007894",2
"007","007453","007401",3
"007","007453","007549",4
"007","007453","007488",5
"007","007453","007962",6
"007","007453","007727",7
"007","007549","007401",1
"007","007549","007894",2
"007","007549","007488",3
"007","007549","007453",4
"007","007549","007962",5
"007","007566","007894",1
"007","007566","007962",2
"007","007566","007453",3
"007","007566","007727",4
"007","007566","007488",5
"007","007791","007401",1
"007","007791","007894",2
"007","007791","007566",3
"007","007791","007488",4
"007","007791","007453",5
"007","007791","007727",6
"007","007791","007962",7
"007","007894","007566",1
"007","007894","007549",2
"007","007894","007488",3
"007","007894","007727",4
"007","007894","007453",5
"007","007894","007962",6
"008","008212","008722",1
"008","008212","008845",2
"008","008212","008770",3
"008","008212","008600",4
"008","008212","008408",5
"008","008212","008514",6
"008","008212","008534",7
"008","008212","008261",8
"008","008261","008722",1
"008","008261","008408",2
"008","008261","008212",3
"008","008261","008845",4
"008","008261","008600",5
"008","008261","008514",6
"008","008261","008770",7
"008","008408","008722",1
"008","008408","008845",2
"008","008408","008212",3
"008","008408","008770",4
"008","008408","008514",5
"008","008408","008261",6
"008","008514","008722",1
"008","008514","008845",2
"008","008514","008408",3
"008","008514","008212",4
"008","008514","008770",5
"008","008514","008534",6
"008","008514","008261",7
"008","008534","008514",1
"008","008534","008845",2
"008","008534","008408",3
"008","008534","008600",4
"008","008534","008770",5
"008","008534","008722",6
"008","008534","008212",7
"008","008534","008261",8
"008","008722","008845",1
