Name,Definition,Order
"hhid","Household identifier",
"province","Province code",
"district","District code",
"subdistrict","Subdistrict code",
"village","Village code",
"ea","Enumeration area",
"pmt","PMT treatment",
"community","Community treatment",
"hybrid","Hybrid treatment",
"elite","Elite subtreatment",
"poorest10","10 poorest subtreatment",
"daymeeting","Day meeting subtreatment",
"treated","Household received cash",
"rank","Percentile rank in subvillage",
"consumption","Per capita consumption (in thousand Rp)",
"consumption_ae","Adult equivalent consumption (in thousand Rp)",
"food","Per capita food expenditure (in thousand Rp)",
"nonfood","Proportion of expenditure on non-food items",
"nonstaple","Proportion of food consumption from non-staples",
"diversity","Dietary diversity",
"connected","Connected to elite households",
"pcfloor","Household floor area per capita",1
"tfloor","Non-earth floor",2
"twall","Brick or cement walls",3
"troof","Concrete or corrugated roof",4
"toilet","Private toilet",5
"water","Clean drinking water",6
"lighting","PLN electricity",7
"fcook","Cooks with firewood",8
"house","Owns house privately",9
"hhsize","Household size",10
"hhsize2","Household size squared",
"hhsize_ae","Adult equivalent household size",
"hhage","Age of head",11
"hhage2","Age of head squared",
"hhmale","Head is male",12
"hhmarried","Head is married",13
"hhmalemarr","Head is male and married",
"age04","Number of children 0-4",14
"depratio","Dependency ratio",15
"eschild","Number of children in elementary school",16
"jschild","Number of children in junior high school",17
"sschild","Number of children in senior high school",18
"hheduc2","Education of head is elementary school",19
"hheduc3","Education of head is junior high",20
"hheduc4","Education of head is senior high school or higher",21
"higheduc2","Highest education in HH is elementary school",22
"higheduc3","Highest education in HH is junior high",23
"higheduc4","Highest education in HH is senior high or higher",24
"formal","Head works in formal sector",25
"informal","Head works in informal sector",26
"hhsector1","Head works in agriculture sector",27
"hhsector2","Head works in industry sector",28
"hhsector3","Head works in service sector",29
"credit","Has received credit",30
"ac","Owns AC unit",31
"computer","Owns computer",32
"radio","Owns radio/cassette player",33
"tv","Owns TV",34
"dvd","Owns DVD player",35
"satellite","Owns satellite dish",36
"gas","Owns gas burner",37
"refrigerator","Owns refrigerator",38
"bicycle","Owns bicycle",39
"motorcycle","Owns motorcycle",40
"auto","Owns car/minibus/truck",41
"hp","Owns cell phone",42
"jewelry","Owns jewelry",43
"chicken","Owns chicken",44
"cow","Owns caribou/cow",45
