"","parameter","rep","CBT_ncomm","Hybrid_mu_beta_mean_noelite","Hybrid_beta_rank_mean_noelite","Hybrid_beta_micro_mean_noelite","Hybrid_mu_beta_mean","Hybrid_beta_rank_mean","Hybrid_beta_micro_mean","CB_beta_rank_mean_noelite","CB_beta_rank_mean","CB_DU_beta_rank_mean","PMT_beta"
"1","rooms",1,5,0.142327917296565,0.282681564222028,0.0223603598446208,0.0975455249214484,0.170919113820094,0.0195458264834017,0.199675832545633,-0.00642847005207297,-0.120149106505868,0.111978089980797
"2","hhsize",1,5,-0.0272531776895479,0.0930203138782613,-0.164327051039079,0.0213668316973735,0.197291960490275,-0.172188376237048,0.0321272478325427,0.114838131481,0.53700515039655,-0.190323561931825
"3","age1660",1,5,0.11771248768234,0.0568264190344747,0.181540872371112,0.0915291154193097,0.0162469985648994,0.174380528057837,-0.187185375506333,-0.0839787547354682,-0.21533028241002,-0.119621978719844
"4","age60",1,5,-0.392720571944677,-0.468245014192166,-0.339848433254929,-0.437936105556376,-0.592938946224232,-0.346491829563027,-0.788673463220746,-0.627577856150138,-0.907960826909252,0.244260382168066
"5","floor",1,5,0.399367067119184,0.579020807325955,0.274077805240464,0.370077493771807,0.50541667631035,0.282510139020934,0.767985515989935,0.630735770041384,1.2038047534274,0.0922218165217152
"6","walls",1,5,-0.065984953411984,-0.207338935008383,0.0662327626379855,-0.0378183501403604,-0.173523708400816,0.0852133742000835,-0.995392499156254,-0.838674951323626,-0.220343023690512,0.198796565790395
"7","roof",1,5,0.143444001706923,0.433053524467143,-0.120126262856461,0.103751939747565,0.339718685612592,-0.11975611887449,0.851389169339303,0.603254458584891,0.448544943329487,-0.127711215534185
"8","toilet",1,5,-0.000731547907559498,-0.0118332136228542,0.0353530104117196,-0.0102405428290102,-0.0898402346052462,0.0435974385183265,-0.190855901851044,-0.208860594669105,-0.371604372780268,0.291833022007936
"9","well",1,5,-0.118546002334521,-0.141517784507067,-0.0972011391913649,-0.113901246077412,-0.140188022384551,-0.0916451440561404,-0.474695913204616,-0.159013893696516,-0.211599413644099,0.108964050570881
"10","water",1,5,-0.0972714786374748,-0.194880214834686,-0.00308724327893944,-0.167682777135459,-0.351313030412957,-0.000420182279116793,-0.496084267815364,-0.245121037910156,-0.403219453554686,0.0878014488575436
"11","waste",1,5,0.212651003516201,0.243216989921655,0.227740443192911,0.253630932358379,0.282571157891583,0.245077480627837,0.708782195990485,0.570372156474021,1.29481497583204,-0.294546573904762
"12","male",1,5,-0.473683117629704,-0.525576754342718,-0.471409338803155,-0.440673913075185,-0.463364594102725,-0.467424122684013,-0.370622877116528,-0.251411246999611,0.340829873111151,0.425888847558781
"13","married",1,5,0.284186083333685,0.511283464780034,0.0926546780802913,0.238151379848154,0.419534216868565,0.0923223754473474,0.904662320066492,0.736904740918476,0.975200815819033,0.296010669390129
"14","widow",1,5,0.182638297089741,-0.0616269130090855,0.457636465065234,0.105151641178694,-0.2328146769005,0.454184798609709,-1.03684057704431,-0.824811452756287,-2.09802775518345,0.443700575403041
"15","minority",1,5,0.198325864959226,0.516709243520688,-0.0978041064251499,0,0,0,2.28698270517076,0,0,0
"16","primary",1,5,0.0363624711101057,-0.0211102354317414,0.0831956211650244,-0.0300506980822636,-0.143959916614314,0.0924284039179397,0.0882298969948699,-0.158092371980305,-0.391471517601118,-0.315113233126455
"17","secondary",1,5,0.101936345313943,0.0878033138195062,0.14622456335437,0.0987429834460091,0.0679561566984593,0.151954713193413,0.158062195994617,0.172092302169561,-0.0387445700644033,-0.0791316706403601
"18","tertiary",1,5,-0.0228660926502526,0.0947618059233072,-0.158538141154699,-0.13550674937083,-0.0154421565605387,-0.267993593004789,1.22519567143027,1.00103481322714,1.28045231358878,1.12768495764383
"19","literacy",1,5,-0.00233423581077481,-0.0639002214540714,0.0582665717179038,-0.00755510178893243,-0.0672066068078022,0.0563032692527794,-0.133872290043685,0.0115554570796786,0.151622182097638,0.345011891033391
"20","agriculture",1,5,0.151143851513622,0.104668191321125,0.204259433319714,0.0607077248818908,-0.074351262722779,0.204113753587767,0.198603502983139,-0.0946381799642097,-0.61546470630893,0.101365569531705
"21","cart",1,5,-0.108638520240806,-0.290238737379941,0.0762261837327096,-0.083186696951588,-0.265587998452222,0.0883395504173802,-0.827097946526791,-0.653065800125661,-0.570335009056705,0.400247002889206
"22","plow",1,5,0.0563021905259102,-0.00906765634483039,0.110444064143603,0.0184263104204304,-0.0585299904059196,0.102500294395649,-0.0507403921672931,-0.153420513464907,-0.286143294531442,0.373989483370493
"23","bike",1,5,0.12700213670543,-0.0426170747342173,0.314305709248125,-0.0189162312040865,-0.348404544269624,0.292913509120495,-0.691244791757446,-0.471303749204735,-0.476079570057053,1.39114398899149
"24","motorbike",1,5,0.158140868134809,0.244572245562925,0.0724974590789774,0.124695282028153,0.20670419060476,0.0615876326716656,0.345314104088931,0.280144957418303,0.197451371218541,0.0393617564592728
"25","car",1,5,-0.0850020923381849,0.0169901955687598,-0.185427652272752,-0.0464575536604656,0.0791305029077011,-0.188369177400598,1.29753332585453,1.00135225773799,0.826360292246584,NA
"26","radio",1,5,0.0656185630232635,0.0710589582167631,0.0668251065596689,0.0314635673597121,-0.00512050570026182,0.0675813405672585,0.207521288979556,0.181224283603394,0.398319180493072,0.0739036343592433
