"parameter","CB_beta_rank_mean_noelite","CB_beta_rank_mean","PMT_beta"
"rooms",0.123134090198644,0.110517700582015,0.0147189956071756
"hhsize",0.396641312210264,0.420552928082779,-0.233398352121845
"age1660",-0.117841858090718,-0.108734198849305,0.284962595797729
"age60",-0.343550791652539,-0.321750415430228,0.0109524138673832
"floor",0.518730762849136,0.544250391836626,0.202338218232178
"walls",0.272510434301454,0.265036334607421,0.0811114908066341
"roof",0.29454353636822,0.28317219690191,-0.0502389665497458
"toilet",0.29060950413723,0.316631907271846,0.119570634369165
"well",0.065926103968854,0.00990276260853751,0.0469962410431159
"water",-0.0895041965517735,-0.0847911735953605,0.024315256316836
"waste",0.459657956112198,0.456953325063735,-0.076731618970296
"male",-0.464732225194535,-0.446863220833714,-0.30783528775332
"married",0.0295984099889315,0.0650321822189123,0.0808341600229452
"widow",-0.118623577512558,-0.130898474947291,0.513474929951264
"minority",0.395451277139387,0,0
"primary",-0.0280638567402487,-0.0463130321308284,0.0881519744461933
"secondary",0.0606417911106789,0.0397572760837359,0.202326191381679
"tertiary",1.19503405019163,1.24883192788302,-0.0327955768522597
"literacy",0.131546250477013,0.136492192528748,0.0644990270114994
"agriculture",-0.199656913691674,-0.231642209772193,0.126814133818604
"cart",-0.0156032166305298,0.00376417272305427,0.0784379952347988
"plow",-0.126983783455371,-0.109658157447214,0.160543381387265
"bike",0.00143986826048824,0.0490312097379393,0.554405599686202
"motorbike",0.344801464039146,0.339818828353757,0.145600223151323
"car",0.410010932073253,0.408880906966808,-0.0970749150835217
"radio",0.0172618488460664,0.00622139354456218,0.034367176322507
"tv",0.101799745464952,0.0872624945782989,0.22402772017834
"fridge",0.530198199389229,0.505890686039032,-0.0413550452871122
"kitchen",0.320385264563952,0.385946829183369,0.478126445827804
"horse",0.171399882833467,0.119647751872759,-0.0450547771471527
"goat",0.111443729296228,0.130186523120924,0.0721489413254827
"chicken",-0.13210726217187,-0.128963252586903,0.215393616936708
"bullock",0.339432180958245,0.362595565145035,-0.00770122594897885
"pig",0.136809742466194,0.105568592833325,0.113304766038029
