"","parameter","X2.5.","X97.5.","mean","pprob0"
"1","hhsize",-0.361454361942916,-0.0805298108238214,-0.223467356198359,0.001
"2","hhage",0.0746338144510182,0.304403259928916,0.188889111953515,0.9995
"3","age04",-0.167850306636607,0.0619369058099191,-0.0578785395680783,0.166
"4","depratio",-0.00705538242596104,0.234532709231179,0.108465370869771,0.9655
"5","pcfloor",0.206406571109763,0.425238832527952,0.316946468740144,1
"6","eschild",-0.122529753635442,0.110877179107247,-0.00484445257401565,0.4705
"7","jschild",-0.114236518164535,0.0728538299755906,-0.0183177182368779,0.3595
"8","sschild",0.0370873437564313,0.219813583636389,0.130851459281795,0.9955
"9","connected",-0.105479464999819,0.0781237351058728,-0.010299926251185,0.42
"10","hhmale",-0.0370072312991605,0.388293387420063,0.175852849412029,0.9495
"11","hhmarried",0.460968738126985,0.853741171420015,0.655885620691098,1
"12","hheduc2",-0.025361938371148,0.212382959244758,0.0966158168302788,0.9435
"13","hheduc3",0.0332812513783952,0.336498419148318,0.183295326994651,0.992
"14","hheduc4",0.116520067746022,0.442559225489857,0.278401087650375,1
"15","higheduc2",-0.346517231993397,0.0680577404839951,-0.133642479194145,0.106
"16","higheduc3",-0.244009637901499,0.179393098726618,-0.0325858664443619,0.3865
"17","higheduc4",-0.0853728428419528,0.353691747213758,0.135456105223062,0.885
"18","tfloor",0.196332549663825,0.556599802145005,0.369525397505894,1
"19","twall",0.223242795929374,0.445114977487528,0.336445016940176,1
"20","toilet",0.278054031548438,0.511218265597596,0.394332369450425,1
"21","water",-0.124381804390107,0.119917319402974,-0.0027127013397105,0.4755
"22","lighting",0.239670629115802,0.493102379087716,0.365750462314524,1
"23","troof",-0.0078556431352693,0.439515797718465,0.228450807231242,0.9705
"24","fcook",0.0580419514181841,0.308254821580138,0.185730823798199,0.9975
"25","house",0.183476087405921,0.433369527536016,0.309400416283928,1
"26","computer",0.414197224405149,0.835457674252658,0.630111980499509,1
"27","radio",-0.0704579549266836,0.108313914890227,0.0195902311499322,0.663
"28","tv",-0.0469081120590506,0.259845594309231,0.107893151724536,0.915
"29","dvd",0.0388675141886525,0.234114157230295,0.13713337748773,0.998
"30","satellite",-0.0331631821724703,0.329299892978001,0.142618888009656,0.938
"31","ac",0.288016448176639,1.36472545223639,0.807816212537743,0.9985
"32","gas",0.0743085887221236,0.341708088864087,0.211662449950626,0.9995
"33","refrigerator",0.345912514363633,0.592969482850697,0.470743507218553,1
"34","bicycle",-0.151556324844789,0.0753064242844866,-0.0351760066301245,0.285
"35","motorcycle",0.407268661044221,0.621459300748638,0.515894607352244,1
"36","auto",0.672254862330564,1.13828366783322,0.898839027307408,1
"37","hp",-0.0156738346775744,0.204809675297103,0.0935573395488693,0.951
"38","jewelry",0.0378899726423791,0.231337474932327,0.135959858848518,0.996
"39","chicken",-0.0832272435169501,0.118903546120221,0.0194955899095351,0.659
"40","cow",0.242611174419915,0.591050119520173,0.412015936365974,1
"41","credit",-0.249145837764443,0.0922958802327191,-0.0795567960418443,0.1865
"42","hhsector1",-0.246965324769484,0.884983047874959,0.299239619726139,0.849
"43","hhsector2",-0.492679341820313,0.64742625727164,0.0788848658523756,0.607
"44","hhsector3",-0.301328990860785,0.834667168487605,0.256593750057375,0.8185
"45","formal",-0.682347049444331,0.459592003593165,-0.103472696596834,0.3685
"46","informal",-0.794807606251465,0.354026710537281,-0.214082693036545,0.2415
