"","CBT_ncomm","Method","mean","var"
"1",10,"Hybrid-AI-EC",0.394730837291785,0.118884679200541
"2",10,"Hybrid-AI",0.394453375811042,0.118180254037823
"3",10,"Hybrid",0.453100928898691,0.121728421598818
"4",10,"Hybrid-EC",0.450746774003035,0.121844087444227
"5",10,"Probit",0.560164105365206,0.119264508532118
"6",10,"PMT",0.49868857847657,0.121748564647579
"7",200,"Hybrid-AI-EC",0.322986751978351,0.103200153217683
"8",200,"Hybrid-AI",0.323869342315909,0.103753342042861
"9",200,"Hybrid",0.322431512915539,0.103746938841602
"10",200,"Hybrid-EC",0.32273370158287,0.104086793073153
"11",200,"Probit",0.345051035950245,0.112997127806241
"12",200,"PMT",0.367846222129801,0.11525106224468
