"","parameter","rep","CBT_ncomm","Hybrid_mu_beta_mean_noelite","Hybrid_beta_rank_mean_noelite","Hybrid_beta_micro_mean_noelite","Hybrid_mu_beta_mean","Hybrid_beta_rank_mean","Hybrid_beta_micro_mean","CB_beta_rank_mean_noelite","CB_beta_rank_mean","PMT_beta"
"1","hhsize",1,10,-0.372972053628635,-0.154061126154363,-0.632006994048419,-0.364207835030282,-0.136667263691911,-0.629980549179941,0.477746794836445,0.397383215685545,-0.472697989398116
"2","hhage",1,10,0.193632171750774,0.38387464083753,0.0117396777246362,0.195262070055268,0.393562407665388,0.0134280363142223,0.848063335637046,1.03437644227221,-0.0528207210509419
"3","age04",1,10,-0.00468062103434862,-0.0442678295159084,0.0247451050771953,-0.00196560597983488,-0.026758745169363,0.02496964724769,-0.683762051373144,-0.627085844299181,0.0506087803670829
"4","depratio",1,10,-0.0383339328370195,0.123332546938543,-0.189330195460283,-0.0398747636768814,0.121689844881707,-0.191783171021315,0.329073487193688,0.520986781162346,0.223617069786767
"5","pcfloor",1,10,-0.0381625824311781,-0.336692423093397,0.256400175300791,0.0138453351442285,-0.25645187453349,0.255190833339278,-2.85242401406335,-2.54465801208861,-0.249868832846226
"6","eschild",1,10,0.0457905597383638,0.0828189635618049,0.0267857701641113,0.0343022627000959,0.0597119950458405,0.0281502470380335,-0.453458596741376,-0.48323072366994,-0.320436599738997
"7","jschild",1,10,0.131983911371819,0.199634476128791,0.0839277776257844,0.125720300847499,0.186061960405768,0.0830304875754626,0.412376152485341,0.398640644127032,0.0993718077023428
"8","sschild",1,10,0.10560755088104,0.135149773938647,0.0791036157978671,0.0800648753345045,0.0953114347293936,0.0779496173397663,-0.202558393886553,-0.280908104760071,-0.0037940147697222
"9","connected",1,10,0.121827089111965,0.242827236834598,0.01264122179242,0,0,0,0.678044261003413,0,0
"10","hhmale",1,10,0.153895803716486,0.352336485132941,-0.0346962526472548,0.123231605539576,0.320143063205291,-0.040617188372723,1.35258273084451,1.59231851070911,0.184588063055645
"11","hhmarried",1,10,0.176723959971126,0.455774179354689,-0.0778431429668027,0.206380685855518,0.51086134105803,-0.0726547563152482,1.54882356782288,1.68586759042073,0.0880770338946833
"12","hheduc2",1,10,-0.0180209352244488,-0.186448636569558,0.130617823051686,-0.0197539100324124,-0.165808365249001,0.133569437404763,-1.24375337790396,-1.31211992586771,-1.07631765508046
"13","hheduc3",1,10,0.308222397316519,0.52404638445093,0.14437975234716,0.265722320396327,0.438356655414288,0.145900710820385,0.481857048136949,0.518666872689356,-0.961746008091306
"14","hheduc4",1,10,0.231160947819327,0.338797656894395,0.163508585432681,0.249383986146686,0.369276346333587,0.165390263478428,1.13752422470044,1.31533139723367,-0.282542180824167
"15","higheduc2",1,10,0.054804429881919,0.121954115806428,-0.0212240871141275,0.00759144479909154,0.0454135809172567,-0.0237190979634457,-0.873148350398147,-1.09814717842747,0.171908652918766
"16","higheduc3",1,10,-0.0843402228882857,-0.108623083171399,-0.0909262804120904,-0.104109060604143,-0.132150303288779,-0.094227949326915,-0.707901472425809,-0.912107164924587,0.310958626950495
"17","higheduc4",1,10,0.0450935277948357,0.11077055541601,-0.0243730605268487,0.0376914336517068,0.09923303599805,-0.0265005926771628,-0.0780531382832216,-0.207583048876553,0.422022040115843
"18","tfloor",1,10,-0.141858376495028,-0.336560807423126,0.0276456410531369,-0.108614456780303,-0.277365885692439,0.0272544623656439,-3.23265769739019,-3.22186414810924,-0.43281654211205
"19","twall",1,10,0.219796432986117,0.356241577363767,0.119211611054115,0.186246209264246,0.270007477813157,0.11948515918499,0.362360813205056,0.064053723620189,-0.757819679560953
"20","toilet",1,10,0.13373755293629,0.225359228103654,0.0505885985138533,0.137791172377563,0.24597177581709,0.0523031340135998,-0.298531378222302,-0.0141905183322905,0.107501223513953
"21","water",1,10,-0.224589375430818,-0.330978010992395,-0.143405048802674,-0.208051277877452,-0.278068659301961,-0.141739747228607,-0.823286824164995,-1.00014099080644,-0.855380758200623
"22","lighting",1,10,0.294028157931925,0.517139503738114,0.119962385477088,0.286383912224094,0.499465314405572,0.121550649502783,3.19443310059904,3.05860037451944,0.453812460568072
"23","troof",1,10,0.196463276700578,0.564795209078277,-0.128901453090731,0.166064175052492,0.486979241391982,-0.127473162144468,2.90861053880637,2.98230367647945,-0.139654888777531
"24","fcook",1,10,0.373877050056552,0.605145689067055,0.212532959826376,0.36584330771339,0.573988927064743,0.213944441944005,2.38107837280402,2.15250165321597,0.653246357647046
"25","house",1,10,0.0183568293326554,0.00290579422843585,0.0491369406986122,0.041628751684274,0.0553299840767608,0.0494397694603124,-0.178363750101273,-0.00429447446587714,-0.0564033483689763
"26","computer",1,10,0.560955349931313,0.680757810955545,0.518119179295373,0.553023405401851,0.650637384587233,0.520800182794188,1.54150388271298,1.81776786710016,0.981190406480807
"27","radio",1,10,-0.0119160741913609,-0.0690391258433976,0.0474387040060976,-0.015960061971151,-0.060844989524487,0.0467965518481607,0.440106575628516,0.450707083050467,0.297780459231645
"28","tv",1,10,-0.136744547184543,-0.206546485616878,-0.0711440395752353,-0.160447261332574,-0.27380944295113,-0.072055546522717,-2.12776665491211,-2.1246184277736,0.350103411231228
"29","dvd",1,10,0.350749894376,0.627222034778153,0.128227517846871,0.321921660863786,0.566884749064713,0.129080459746734,1.52345612529747,1.62940110339354,-0.224950432817203
"30","satellite",1,10,0.0877315232665508,0.0336234309245305,0.153975784006944,0.103390458263677,0.0599133499453882,0.154990985782357,-1.193672178764,-1.25944869249906,-1.3755752613974
"31","ac",1,10,0.394835094677936,0.434231914966889,0.41061221614239,0.40582060953124,0.446985629846214,0.405042980301163,1.57549346458109,1.22490686288181,-1.31545661430644
"32","gas",1,10,0.493665782703211,0.832611658548993,0.207534237182652,0.428100047003361,0.695978360481218,0.209683858150737,3.07333204048754,3.15563162382231,-0.292957539604967
"33","refrigerator",1,10,0.504678344374248,0.883595887592188,0.206875394806895,0.480455550621533,0.810258125711599,0.208048029394047,4.74386997188401,4.20267975510748,0.681705639428403
"34","bicycle",1,10,0.301914136959747,0.627836762517965,0.00643003760824757,0.240738816771617,0.514227761458372,0.00603303313099119,2.33537191232364,1.78486001316982,-0.668666602248619
"35","motorcycle",1,10,0.347168051757492,0.535118703029734,0.204217477557719,0.335873645609836,0.502091435529633,0.20495612799565,0.690972302963816,0.810946198329211,0.849153102666238
"36","auto",1,10,0.559415879069837,0.722080283263356,0.483294535698143,0.557748212380497,0.713489170100826,0.48988502002002,2.71629614910874,2.55379347754074,0.0914726657097989
"37","hp",1,10,0.0418169195637779,-0.0889057695568857,0.17907325754819,0.0295048925707189,-0.119697367321233,0.176923257172962,-1.31970305363218,-1.21073389364072,-0.334228336156084
"38","jewelry",1,10,-0.0203055043044175,-0.0863744982686645,0.0480288706777759,-0.00929385751549774,-0.0733440702434201,0.048301142734827,-0.199066660620138,-0.262182241485811,0.244120605882235
"39","chicken",1,10,0.149134479778495,0.263582875935705,0.0635384622336991,0.156796260435406,0.273093525015902,0.0642284456516952,1.33368423197356,1.13979140749487,-0.221360441133363
"40","cow",1,10,0.0185904920900523,0.0939972340356346,-0.0545208369432114,-0.000669759493482141,0.0614910857952484,-0.0568528459492883,-0.0516564780320013,-0.0072198996749049,0.504532224223022
"41","credit",1,10,-0.118938324007132,-0.267673608169002,0.0241821716916557,-0.0807423188875059,-0.190130510185962,0.0232425498890538,-1.44383071167179,-1.30759868587516,0.0557249585000208
"42","hhsector1",1,10,0.0696488341496611,0.136588090170558,0.0175704883735832,0.101342854072615,0.203295406747271,0.00821326727078894,0.950666796441405,1.07359727561171,0.00555338603046564
"43","hhsector2",1,10,-0.0269753158631041,-0.0133536997085437,-0.048223180064327,-0.0361361520013003,-0.0291224054776459,-0.0575533724921004,0.244295626392143,0.312446550197355,0.113848570384207
"44","hhsector3",1,10,0.0843653676974494,0.126922495005952,0.0420769330235369,0.0216068961061785,0.0146764204424925,0.0294784899357921,0.289330643642306,0.133314447712717,0.112163810936573
"45","formal",1,10,0.286143263561695,0.476421060042675,0.140011515214558,0.255848232524404,0.406651190286051,0.147050091448314,1.41467843876425,1.03204768845915,-0.340397101965495
"46","informal",1,10,-0.0839191848209508,-0.18684678538519,0.00988788831271721,-0.0239971856061158,-0.0824518033122384,0.0204149103782481,0.261160812958771,0.313863570319814,NA
"47","hhsize",2,10,-0.635329565020696,-0.696647918450819,-0.636886089120503,-0.645004123718122,-0.731838798744859,-0.635053709264518,-1.70286637522163,-1.41362769265558,-0.206445706328662
"48","hhage",2,10,-0.0650989849375877,-0.153268514760457,0.0108067153205498,-0.065502471372017,-0.149488747785632,0.00969889000079226,-0.250314149256155,-0.163918377776024,-0.139511120950392
"49","age04",2,10,0.105000034219069,0.18284846077076,0.0273184961071539,0.0919804955515214,0.168875299538434,0.0254839694037695,-0.296148459064102,-0.340404780978565,-0.695046659524036
"50","depratio",2,10,0.00959423885352506,0.196287889061826,-0.187122007744647,0.0234030397398194,0.225891666806274,-0.187481227294605,0.967209341670014,0.911303395676518,0.0126895934789861
"51","pcfloor",2,10,0.294923648993484,0.357705362619232,0.258827153842558,0.256324089673808,0.283024469177175,0.257856455505172,-0.345282018380975,-0.0236420215660725,0.846029799774314
"52","eschild",2,10,0.129775366195476,0.257743493514185,0.0283799426881609,0.136020245505116,0.244800529164529,0.0305548439685649,0.073827020535645,0.158988301158369,-0.313934945911025
"53","jschild",2,10,0.0444535852655479,0.0173292162709499,0.0834251979566308,0.0205209582307314,-0.0394695087575701,0.0834814906864792,0.325497938139586,0.491668610232383,0.296363779695821
"54","sschild",2,10,-0.178316687753192,-0.460583142155863,0.0758072846924426,-0.192687542740055,-0.485894325851212,0.074015389822845,-1.56471295941906,-1.7764957542263,-0.347721742546591
"55","connected",2,10,-0.0696456292796346,-0.183265790081537,0.00979764849684271,0,0,0,0.0894239343520426,0,0
"56","hhmale",2,10,0.0105990128212102,0.0619226546703935,-0.0338210415566677,0.00620842332193623,0.0719153390318192,-0.0375059268782239,-0.328982491789842,-0.385405126346886,0.154780671475912
"57","hhmarried",2,10,0.0279514085106306,0.13167239153191,-0.0797735043266506,0.0421932447279346,0.156443742861243,-0.0762519045358532,0.59751716477365,0.59823699000337,-0.455540057058687
"58","hheduc2",2,10,0.195623234096304,0.255308802870587,0.135004989436121,0.194713995162519,0.252827865345879,0.134502141605294,0.186532335372127,0.240471897127872,0.136639402024318
"59","hheduc3",2,10,0.1308115879211,0.150218533974117,0.139125235076556,0.164208626769983,0.211638683177102,0.14007908254559,0.104749085227591,-0.165991297027619,-0.0861691016812383
"60","hheduc4",2,10,0.173570850797706,0.199008728274902,0.160959861309561,0.169035285543724,0.199018631782497,0.161075603194198,0.597386462372382,0.404151458572414,0.427596566653468
"61","higheduc2",2,10,-0.0798405607625802,-0.137798489543898,-0.0307242009076504,-0.0736194316778177,-0.123229345193384,-0.0274369821566033,-0.813862018108459,-0.962821772422214,-0.255079197604122
"62","higheduc3",2,10,-0.032569023709296,0.0345733092381482,-0.0930182275065006,-0.00970472461645286,0.0782650643951538,-0.0897311108657576,1.13933064781288,0.733976272999206,0.614532846720458
"63","higheduc4",2,10,-0.0450224769796864,-0.0686915811311403,-0.0269260912479667,0.00127068483711113,0.0126505584027865,-0.0240292712681379,-0.369951297040913,-0.897488171929926,0.774350152331466
"64","tfloor",2,10,0.19151400927935,0.361147361933196,0.0402956725594303,0.263080679160831,0.509345891655431,0.0447915720318835,2.65915751098356,2.52169111275726,0.432747940479624
"65","twall",2,10,0.222999432884716,0.363161648160114,0.117752202513834,0.209145978086515,0.333829407456349,0.11703779197583,0.791716759949215,0.859932367770107,-0.331460244471594
"66","toilet",2,10,0.141748548367305,0.257534254783918,0.0517467099296403,0.186560387523859,0.342166884102994,0.0521709617155224,1.08740024101919,0.826029875210442,-0.446677085917879
"67","water",2,10,0.0542998892414339,0.262233815581219,-0.135125553706972,0.0854480960169271,0.328104753285761,-0.137833041585517,1.63878407207083,1.78661330292746,0.602177541851845
"68","lighting",2,10,-0.0173706973036733,-0.132658820938556,0.113415111683355,0.0133007352085501,-0.0856955411903226,0.113604080358631,-0.285496457082515,-0.329651840929192,-0.2416049850546
"69","troof",2,10,0.0202620366309288,0.160272538921258,-0.123216972875337,0.0310563933025595,0.186468579323027,-0.124504399644412,2.55161586682439,2.61404605567708,0.235002901653641
"70","fcook",2,10,0.192728030344214,0.195069279556919,0.20680741105291,0.188621047242147,0.172230690753448,0.207297300388713,-0.405868553641509,-0.214544056423633,-0.0336854347258206
"71","house",2,10,-0.0660708379972911,-0.200228859474725,0.0469916985426804,-0.0174251616014796,-0.0944193038433503,0.0512313669637973,-1.77895749008142,-2.48995300207023,0.0908381050340847
"72","computer",2,10,0.545290220194,0.635402530552849,0.518757109862823,0.546419495743994,0.632009789159075,0.523101105813808,1.7946860973874,1.94708879010848,-0.0564710062802187
"73","radio",2,10,-0.138091214014657,-0.330627050729666,0.0464664283804092,-0.155226050037892,-0.365435055528596,0.047636691645278,-1.12577625982552,-1.16643774821842,-0.163942502029718
"74","tv",2,10,-0.0657858042071691,-0.079262376457095,-0.0652231653333072,-0.0311212989405603,-0.00413934582831407,-0.0674008445449544,0.196026912694476,0.130734664414865,0.0287940851647301
"75","dvd",2,10,0.131949864631633,0.141772742897923,0.124981382535014,0.119683662294397,0.124563910241305,0.123429512744082,0.386712467182064,0.42411873246864,0.121703640517621
"76","satellite",2,10,0.00620061346526037,-0.126369143483996,0.151001452818206,0.0139091499461141,-0.115961892815765,0.150590524582736,-2.04814955540543,-2.26713245209373,0.0658113326627432
"77","ac",2,10,0.428926077938494,0.491317103323625,0.410519999610305,0.43806073161427,0.511728230982293,0.412565925036238,1.4531307265514,1.36103047795612,1.0021649090315
"78","gas",2,10,0.0142862125978069,-0.166547824373713,0.200111312825683,0.0185802262874515,-0.156332609454469,0.202763081868943,-1.65394179293502,-1.91318306534226,-0.0562683224351719
"79","refrigerator",2,10,0.465285846216219,0.771363734015911,0.209448172034267,0.465965433109333,0.786319524423044,0.209377081339255,3.2997496919171,3.63998784682874,0.670729945038298
"80","bicycle",2,10,0.007370520608459,0.016358741245531,0.00374782983757349,-0.000836722662784955,0.00236493635114897,0.00330505480681622,-0.660751544685193,-0.743973744980778,0.135349989031632
"81","motorcycle",2,10,0.267979914737067,0.342957075089777,0.205239249329812,0.273621756286728,0.363645700017036,0.204489219463924,0.338113886619868,0.369847618847755,-0.16888858910259
