"parameter","CB_beta_rank_mean_noelite","CB_beta_rank_mean","PMT_beta"
"hhsize",-0.18378487406442,-0.209113059061299,-0.515421659957462
"hhage",0.179514548638912,0.19159923034667,0.0332364295704057
"age04",-0.196637368473882,-0.180698676869947,-0.0957336080736138
"depratio",0.130858265771183,0.139496711419331,-0.0876158901327053
"pcfloor",0.241680671862463,0.237045719433351,0.313256636258494
"eschild",0.0479399110745267,0.0463845408991379,-0.0469489559507945
"jschild",-0.0776015602349902,-0.0821411271688227,-0.0262952692049152
"sschild",0.0692067388099395,0.0692078400322433,0.0189686245911178
"connected",-0.0245247644114643,0,0
"hhmale",0.298280931894189,0.276339352514363,-0.0158639165459455
"hhmarried",0.500818623930802,0.533655131209906,0.0209838399835706
"hheduc2",0.175750686715848,0.168686726642099,0.00621935070047639
"hheduc3",0.279856904537529,0.274591079430629,0.117117939616804
"hheduc4",0.469687928406137,0.452047188922806,0.182458120116863
"higheduc2",-0.0658306395844752,-0.0051616370910256,-0.0691430318462929
"higheduc3",0.0889300610142089,0.14529191938472,-0.0899244006199209
"higheduc4",0.19984685092934,0.265336265178013,-0.078031379635237
"tfloor",0.368501782357436,0.420285101701714,-0.0380252062302254
"twall",0.364680020622731,0.382118556122994,0.149814607642491
"toilet",0.442519571113024,0.458886271591595,0.00515686778189155
"water",0.0208762426795596,0.0502334813206008,0.0109905137289029
"lighting",0.255971212867842,0.265653468985679,0.0265705730908948
"troof",-0.000199530933239921,0.0493642269663087,-0.134768100645558
"fcook",0.158801203776186,0.156510398962989,0.170504243278072
"house",0.343269509788449,0.370775614298847,0.0517129165979055
"computer",0.633200467515118,0.625728986259321,0.35331513633397
"radio",0.0477197997591167,0.0554386855025091,0.0700793181599475
"tv",0.140118305350569,0.164525447005712,-0.0444802120749254
"dvd",0.0427834974771635,0.0417414904775483,0.0962743799924296
"satellite",0.209471664929399,0.218368086938068,0.156552735244381
"ac",0.267740707317894,0.263033448422318,0.770095159299689
"gas",0.226295980814152,0.222822992770667,0.102717703013735
"refrigerator",0.52804009530572,0.522732846069093,0.181626604193464
"bicycle",-0.0730457860406926,-0.06229004351064,-0.0104410821545942
"motorcycle",0.559967934428333,0.554431257161573,0.184800947489109
"auto",1.05698308966845,1.03645283553861,0.565902363419436
"hp",-0.00254782263540964,-0.00923375694990427,0.252973304984659
"jewelry",0.0839056268310719,0.0797505964666412,0.0732208631717704
"chicken",0.0365911642428231,0.0377442003639624,0.0158838187103978
"cow",0.356799460652613,0.372452558294142,-0.095405722217717
"credit",0.0387037748116476,0.043672413812315,0.10809495218596
"hhsector1",0.155606533910998,0.17944715511264,0.219263842630295
"hhsector2",-0.139479298628957,-0.127472624323347,0.216418702683576
"hhsector3",0.0713554342674959,0.0969350786000598,0.261431451206653
"formal",0.241900656267728,0.336799790353587,-0.224932124972724
"informal",0.0441804254361911,0.140355385808545,-0.278132741375129
