"","Method","CBT_prop","Sensitivity","Specificity","TD"
"1","Hybrid Score",0.05,0.5075,0.846333853354134,0.353833853354134
"2","CBT Score",0.05,0.4875,0.84009360374415,0.32759360374415
"3","PMT OLS",0.05,0.44,0.825273010920437,0.265273010920437
"4","CBT Logit",0.05,0.37,0.803432137285491,0.173432137285491
"5","Hybrid Score",0.05,0.53921568627451,0.854926299456943,0.394141985731453
"6","CBT Score",0.05,0.563725490196078,0.862684251357642,0.42640974155372
"7","PMT OLS",0.05,0.443627450980392,0.82467028704422,0.268297738024612
"8","CBT Logit",0.05,0.338235294117647,0.791311093871218,0.129546387988865
"9","Hybrid Score",0.05,0.543424317617866,0.858024691358025,0.401449008975891
"10","CBT Score",0.05,0.535980148883375,0.85570987654321,0.391690025426584
"11","PMT OLS",0.05,0.459057071960298,0.83179012345679,0.290847195417088
"12","CBT Logit",0.05,0.265508684863524,0.771604938271605,0.0371136231351285
"13","Hybrid Score",0.05,0.551122194513716,0.860808709175739,0.411930903689454
"14","CBT Score",0.05,0.523690773067332,0.852255054432348,0.37594582749968
"15","PMT OLS",0.05,0.473815461346633,0.836702954898911,0.310518416245545
"16","CBT Logit",0.05,0.264339152119701,0.771384136858476,0.0357232889781766
"17","Hybrid Score",0.05,0.525,0.852941176470588,0.377941176470588
"18","CBT Score",0.05,0.48,0.839009287925697,0.319009287925697
"19","PMT OLS",0.05,0.46,0.8328173374613,0.2928173374613
"20","CBT Logit",0.05,0.355,0.80030959752322,0.15530959752322
"21","Hybrid Score",0.1,0.464824120603015,0.83411214953271,0.298936270135725
"22","CBT Score",0.1,0.487437185929648,0.841121495327103,0.328558681256751
"23","PMT OLS",0.1,0.452261306532663,0.830218068535826,0.282479375068489
"24","CBT Logit",0.1,0.42713567839196,0.822429906542056,0.249565584934016
"25","Hybrid Score",0.1,0.544303797468354,0.858490566037736,0.40279436350609
"26","CBT Score",0.1,0.541772151898734,0.857704402515723,0.399476554414457
"27","PMT OLS",0.1,0.468354430379747,0.834905660377358,0.303260090757105
"28","CBT Logit",0.1,0.39746835443038,0.812893081761006,0.210361436191386
"29","Hybrid Score",0.1,0.541353383458647,0.857808857808858,0.399162241267504
"30","CBT Score",0.1,0.548872180451128,0.86013986013986,0.409012040590988
"31","PMT OLS",0.1,0.443609022556391,0.827505827505827,0.271114850062218
"32","CBT Logit",0.1,0.411027568922306,0.817404817404817,0.228432386327123
"33","Hybrid Score",0.1,0.545,0.858914728682171,0.403914728682171
"34","CBT Score",0.1,0.545,0.858914728682171,0.403914728682171
"35","PMT OLS",0.1,0.475,0.837209302325581,0.312209302325581
"36","CBT Logit",0.1,0.465,0.834108527131783,0.299108527131783
"37","Hybrid Score",0.1,0.557788944723618,0.861660079051383,0.419449023775001
"38","CBT Score",0.1,0.555276381909548,0.860869565217391,0.416145947126939
"39","PMT OLS",0.1,0.449748743718593,0.827667984189723,0.277416727908316
"40","CBT Logit",0.1,0.467336683417085,0.833201581027668,0.300538264444753
"41","Hybrid Score",0.2,0.549019607843137,0.859447004608295,0.408466612451432
"42","CBT Score",0.2,0.541666666666667,0.857142857142857,0.398809523809524
"43","PMT OLS",0.2,0.450980392156863,0.828725038402458,0.27970543055932
"44","CBT Logit",0.2,0.458333333333333,0.831029185867896,0.289362519201229
"45","Hybrid Score",0.2,0.555555555555556,0.862095531587057,0.417651087142613
"46","CBT Score",0.2,0.548148148148148,0.859784283513097,0.407932431661245
"47","PMT OLS",0.2,0.446913580246914,0.828197226502311,0.275110806749225
"48","CBT Logit",0.2,0.523456790123457,0.852080123266564,0.375536913390021
"49","Hybrid Score",0.2,0.54278728606357,0.856485034535687,0.399272320599257
"50","CBT Score",0.2,0.540342298288509,0.855717574827322,0.39605987311583
"51","PMT OLS",0.2,0.447432762836186,0.82655410590944,0.273986868745626
"52","CBT Logit",0.2,0.481662591687042,0.837298541826554,0.318961133513596
"53","Hybrid Score",0.2,0.57,0.868157286044719,0.438157286044718
"54","CBT Score",0.2,0.5275,0.855050115651503,0.382550115651503
"55","PMT OLS",0.2,0.4575,0.833461835003855,0.290961835003855
"56","CBT Logit",0.2,0.5125,0.850424055512722,0.362924055512722
"57","Hybrid Score",0.2,0.586034912718205,0.871017871017871,0.457052783736075
"58","CBT Score",0.2,0.571072319201995,0.866355866355866,0.437428185557861
"59","PMT OLS",0.2,0.461346633416459,0.832167832167832,0.293514465584291
"60","CBT Logit",0.2,0.506234413965087,0.846153846153846,0.352388260118933
